user_type,intent,domain_type,location_type,importance
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,News Site,Residential Area,Somewhat Important
crowdsource worker,browsing online entertainment,Search Engine,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Brand Site,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
crowdsource worker,browsing products/services,Online Store,Residential Area,Somewhat Important
